Absolute Time,Time Elapsed,Temperature,Vref,Average Output

21/05/2020 at 08:22:15,0.0,41.22130705712722,-1.911045943304008,490.77655
21/05/2020 at 08:22:19,4.0,41.22130705712722,-1.911045943304008,473.95566
21/05/2020 at 08:22:23,8.0,41.22130705712722,-1.911045943304008,467.58298
21/05/2020 at 08:22:26,11.0,41.22130705712722,-1.911045943304008,463.85074
21/05/2020 at 08:22:29,14.0,41.22130705712722,-1.911045943304008,461.0123
21/05/2020 at 08:22:32,17.0,41.22130705712722,-1.911045943304008,458.74277
21/05/2020 at 08:22:39,24.0,41.22130705712722,-1.911045943304008,494.95566
21/05/2020 at 08:22:42,27.0,41.22130705712722,-1.911045943304008,496.0158
21/05/2020 at 08:22:44,29.0,41.22130705712722,-1.911045943304008,496.072
21/05/2020 at 08:22:52,37.0,41.22130705712722,-1.911045943304008,456.511
21/05/2020 at 08:22:55,40.0,41.22130705712722,-1.911045943304008,452.1576
21/05/2020 at 08:22:58,43.0,41.22130705712722,-1.911045943304008,450.71994
21/05/2020 at 08:23:01,46.0,40.93009542126816,-1.911045943304008,454.30026
21/05/2020 at 08:23:05,50.0,40.358965024379735,-1.911045943304008,461.6835
21/05/2020 at 08:23:08,53.0,40.078854517910756,-1.911045943304008,464.8178
21/05/2020 at 08:23:11,56.0,39.857300891665396,-1.911045943304008,466.7227
21/05/2020 at 08:23:14,59.0,39.69258480585453,-1.911045943304008,468.26852
21/05/2020 at 08:23:17,62.0,39.52909035862105,-1.911045943304008,469.62265
21/05/2020 at 08:23:20,65.0,39.366799562402925,-1.911045943304008,470.6389
21/05/2020 at 08:23:23,68.0,39.25926568939127,-1.911045943304008,471.6851
21/05/2020 at 08:23:26,71.0,39.09894207178738,-1.911045943304008,472.80045
21/05/2020 at 08:23:29,74.0,38.9927037926529,-1.911045943304008,473.85745
21/05/2020 at 08:23:32,77.0,38.78175098423836,-1.911045943304008,474.85132
21/05/2020 at 08:23:35,80.0,38.72932670208938,-1.911045943304008,476.1478
21/05/2020 at 08:23:38,83.0,38.62485067594398,-1.911045943304008,477.48422
21/05/2020 at 08:23:41,86.0,38.52086746307452,-1.911045943304008,478.6506
21/05/2020 at 08:23:44,89.0,38.41737243610064,-1.911045943304008,480.053
